Component,Origin,License,Copyright
cargo:opentelemetry-proto@0.31.0,https://crates.io/crates/opentelemetry-proto/0.31.0,Apache-2.0,NOASSERTION — no copyright notice identified in supplied files
cargo:opentelemetry@0.31.0,https://crates.io/crates/opentelemetry/0.31.0,Apache-2.0,NOASSERTION — no copyright notice identified in supplied files
cargo:opentelemetry_sdk@0.31.0,https://crates.io/crates/opentelemetry_sdk/0.31.0,Apache-2.0,NOASSERTION — no copyright notice identified in supplied files
cargo:pin-project-internal@1.1.13,https://crates.io/crates/pin-project-internal/1.1.13,Apache-2.0 OR MIT,NOASSERTION — no copyright notice identified in supplied files
cargo:pin-project-lite@0.2.17,https://crates.io/crates/pin-project-lite/0.2.17,Apache-2.0 OR MIT,NOASSERTION — no copyright notice identified in supplied files
cargo:pin-project@1.1.13,https://crates.io/crates/pin-project/1.1.13,Apache-2.0 OR MIT,NOASSERTION — no copyright notice identified in supplied files
cargo:proc-macro2@1.0.107,https://crates.io/crates/proc-macro2/1.0.107,MIT OR Apache-2.0,NOASSERTION — no copyright notice identified in supplied files
cargo:prost-derive@0.14.4,https://crates.io/crates/prost-derive/0.14.4,Apache-2.0,NOASSERTION — no copyright notice identified in supplied files
cargo:prost@0.14.4,https://crates.io/crates/prost/0.14.4,Apache-2.0,NOASSERTION — no copyright notice identified in supplied files
cargo:quote@1.0.47,https://crates.io/crates/quote/1.0.47,MIT OR Apache-2.0,NOASSERTION — no copyright notice identified in supplied files
